Time (s),Temperature (C),Position (m)
10090,78.2,0.162
10100,78.3,0.163
10110,78.2,0.163
10120,78,0.165
10130,78.1,0.161
10140,78.1,0.165
10150,78.1,0.166
10160,78.1,0.163
10170,78.2,0.161
10180,78.1,0.169
10190,78.2,0.166
10200,78.1,0.164
10210,78.2,0.168
10220,78.2,0.163
10230,78.2,0.162
10240,78.2,0.165
10250,78.2,0.165
10260,78.2,0.164
10270,78.3,0.162
10280,78.1,0.163
10290,78.2,0.162
10300,78.2,0.161
10310,78.2,0.16
10320,78.1,0.165
10330,78.1,0.16
10340,78.1,0.162
10350,78.1,0.161
10360,78.1,0.16
10370,78.2,0.162
10380,78.2,0.162
10390,78.2,0.163
10400,78.3,0.167
10410,78.4,0.164
10420,78.4,0.161
10430,78.4,0.165
10440,78.4,0.16
10450,78.4,0.162
10460,78.2,0.162
10470,78.2,0.166
10480,78.2,0.163
10490,78.2,0.162
10500,78.2,0.159
10510,78.2,0.16
10520,78.3,0.159
10530,78.2,0.162
10540,78.2,0.165
10550,78.4,0.162
10560,78.3,0.165
10570,78.4,0.16
10580,78.3,0.165
10590,78.6,0.164
10600,78.5,0.159
10610,78.5,0.169
10620,78.5,0.166
10630,78.5,0.161
10640,78.5,0.16
10650,78.6,0.163
10660,78.6,0.16
10670,78.5,0.158
10680,78.6,0.165
10690,78.6,0.167
10700,78.6,0.165
10710,78.5,0.162
10720,78.6,0.162
10730,78.7,0.162
10740,78.8,0.162
10750,78.8,0.161
10760,78.8,0.162
10770,78.8,0.16
10780,78.9,0.162
10790,79,0.159
10800,79,0.16
10810,79,0.164
10820,79,0.159
10830,79,0.163
10840,79,0.16
10850,79,0.159
10860,78.9,0.164
10870,79,0.163
10880,78.9,0.166
10890,79,0.163
10900,78.9,0.16
10910,78.9,0.167
10920,78.9,0.164
10930,79,0.166
10940,78.9,0.167
10950,79,0.17
10960,78.9,0.163
10970,79,0.165
10980,79,0.163
10990,79,0.164
11000,79,0.162
11010,78.9,0.165
11020,79,0.164
11030,78.8,0.163
11040,78.9,0.17
11050,78.8,0.165
11060,78.8,0.169
11070,78.7,0.165
